id_matki,pesel_matki,imie,nazwisko,grupa_krwi
96,24522705240,Aleksandra,Kowalska,AB Rh-
97,41012926557,Beata,Lewandowska,A Rh+
98,74001491820,Teresa,Kaczmarek,A Rh-
99,73269848659,Katarzyna,Grabowska,0 Rh+
100,01165818199,Zofia,Wiśniewska,AB Rh-
101,54918920707,Agnieszka,Grabowska,AB Rh-
102,63613986070,Beata,Piotrowska,AB Rh+
103,36760050118,Teresa,Kaczmarek,0 Rh-
104,58847583326,Magdalena,Dąbrowska,AB Rh-
105,42549560003,Marta,Dąbrowska,A Rh+
106,63476759682,Helena,Zielińska,B Rh+
107,27126249652,Ewa,Wójcik,B Rh+
108,61498570229,Agnieszka,Krawczyk,A Rh+
109,76354190067,Elżbieta,Piotrowska,0 Rh-
110,45128353444,Irena,Piotrowska,A Rh-
111,54374416434,Aleksandra,Wojciechowska,AB Rh+
112,72411153730,Katarzyna,Kwiatkowska,A Rh+
113,08189166845,Anna,Kozłowska,0 Rh-
114,52358176748,Janina,Grabowska,A Rh+
115,48034108788,Małgorzata,Piotrowska,AB Rh-
116,13218690921,Jadwiga,Kaczmarek,0 Rh-
117,21642379341,Marta,Zielińska,0 Rh+
118,25268680274,Małgorzata,Krawczyk,A Rh-
119,63221313761,Aleksandra,Kowalczyk,AB Rh-
120,09009808805,Marta,Kwiatkowska,AB Rh-
121,94538689920,Barbara,Lewandowska,0 Rh-
122,24550620220,Joanna,Kwiatkowska,A Rh-
123,48335995810,Helena,Kaczmarek,AB Rh+
124,24489758425,Teresa,Lewandowska,A Rh-
125,16432586978,Janina,Kwiatkowska,A Rh-
126,08635264155,Irena,Kwiatkowska,0 Rh+
127,97085892120,Elżbieta,Kaczmarek,AB Rh+
128,61845609544,Joanna,Kaczmarek,AB Rh-
129,10558988639,Elżbieta,Szymańska,B Rh-
130,01585459408,Maria,Jankowska,B Rh-
131,42702951198,Zofia,Kamińska,B Rh+
132,84148377076,Agnieszka,Kowalczyk,B Rh+
133,63939639570,Zofia,Kaczmarek,B Rh-
134,52834451955,Aleksandra,Woźniak,0 Rh-
135,44336321728,Helena,Kaczmarek,AB Rh-
136,18863435451,Katarzyna,Grabowska,0 Rh-
137,34053508876,Joanna,Szymańska,AB Rh-
138,51937030365,Irena,Kozłowska,A Rh-
139,69908545073,Krystyna,Grabowska,0 Rh-
140,48526304107,Irena,Kozłowska,AB Rh+
141,89856524055,Maria,Kowalczyk,A Rh-
142,66257032187,Dorota,Kozłowska,0 Rh-
143,83406019600,Teresa,Krawczyk,AB Rh-
144,17853459383,Elżbieta,Lewandowska,A Rh+
145,82395352324,Joanna,Kowalska,B Rh+
146,17806950431,Halina,Lewandowska,B Rh+
147,18906576593,Aleksandra,Mazur,0 Rh+
148,35408250766,Maria,Kwiatkowska,AB Rh+
149,71894601494,Agnieszka,Kowalczyk,AB Rh+
150,16247939126,Aleksandra,Krawczyk,AB Rh+
151,84775330349,Danuta,Jankowska,A Rh+
152,83211150503,Jadwiga,Krawczyk,B Rh-
153,92090691672,Janina,Kamińska,B Rh-
154,19008239919,Barbara,Kowalska,B Rh-
155,61687517769,Katarzyna,Wiśniewska,AB Rh+
156,80176815585,Zofia,Zielińska,AB Rh+
157,15150279936,Elżbieta,Kwiatkowska,0 Rh+
158,96913523606,Helena,Kamińska,B Rh-
159,99768427062,Krystyna,Grabowska,A Rh+
160,28616978282,Dorota,Jankowska,A Rh-
161,82059762013,Danuta,Mazur,B Rh+
162,61731433476,Małgorzata,Nowak,AB Rh-
163,59738191235,Marta,Kamińska,B Rh-
164,26725261508,Zofia,Wiśniewska,A Rh-
165,57778050012,Irena,Kowalczyk,AB Rh-
166,98392487433,Marta,Jankowska,0 Rh-
167,71002806599,Dorota,Kwiatkowska,B Rh+
168,30377290299,Beata,Kowalska,B Rh+
169,12315962781,Krystyna,Kozłowska,B Rh+
170,40149238114,Jadwiga,Nowak,B Rh+
171,68778121941,Aleksandra,Kozłowska,A Rh+
172,27179677038,Marta,Piotrowska,B Rh-
173,35625786641,Joanna,Kowalska,AB Rh-
174,64017872262,Danuta,Wójcik,A Rh+
175,47392963682,Katarzyna,Piotrowska,AB Rh-
176,89543109521,Jadwiga,Mazur,AB Rh-
177,97984916376,Magdalena,Kowalczyk,AB Rh+
178,04836231344,Krystyna,Grabowska,AB Rh-
179,51022517540,Aleksandra,Wiśniewska,0 Rh-
180,19599489189,Monika,Szymańska,0 Rh-
181,03082541358,Monika,Nowak,A Rh+
182,36574359375,Maria,Szymańska,AB Rh+
183,23216710827,Helena,Szymańska,B Rh-
184,44729626446,Monika,Wiśniewska,A Rh+
185,45521618718,Danuta,Wiśniewska,B Rh-
186,96405297100,Agnieszka,Kaczmarek,B Rh-
187,91787336247,Monika,Kwiatkowska,B Rh+
188,01221373467,Magdalena,Kaczmarek,0 Rh-
189,05500029885,Halina,Mazur,A Rh+
190,14461159432,Anna,Jankowska,0 Rh+
191,66599194086,Elżbieta,Mazur,A Rh+
192,58674488714,Zofia,Nowak,B Rh-
193,18541827186,Ewa,Lewandowska,AB Rh-
194,78385688006,Agnieszka,Krawczyk,B Rh-
195,77570448734,Monika,Dąbrowska,AB Rh-
196,82343009497,Teresa,Grabowska,B Rh-
197,18544878633,Małgorzata,Kowalska,A Rh+
198,28196997188,Dorota,Kwiatkowska,A Rh+
199,25824681491,Anna,Wojciechowska,0 Rh+
200,23709083989,Katarzyna,Wiśniewska,0 Rh+
201,00990361155,Barbara,Grabowska,B Rh+
202,83720927883,Monika,Krawczyk,B Rh-
203,95528000238,Magdalena,Grabowska,AB Rh+
204,10548967755,Elżbieta,Szymańska,A Rh+
205,61352704231,Dorota,Kozłowska,B Rh+
206,76207929859,Halina,Nowak,A Rh-
207,70899746659,Jadwiga,Szymańska,0 Rh-
208,69610903512,Helena,Lewandowska,0 Rh+
209,21153349427,Elżbieta,Mazur,A Rh+
210,64129171527,Małgorzata,Kowalczyk,AB Rh+
211,54678828298,Małgorzata,Grabowska,0 Rh-
212,53156696292,Halina,Mazur,0 Rh-
213,98035314471,Aleksandra,Nowak,A Rh-
214,75314518897,Agnieszka,Kozłowska,0 Rh-
215,69492237803,Elżbieta,Kowalska,B Rh+
216,03614489796,Irena,Wójcik,0 Rh+
217,77194050609,Marta,Kozłowska,B Rh+
218,04943607631,Agnieszka,Zielińska,B Rh-
219,64062779703,Ewa,Wojciechowska,0 Rh-
220,13620216507,Teresa,Kaczmarek,0 Rh-
221,60376717352,Katarzyna,Nowak,AB Rh+
222,01201569843,Anna,Lewandowska,B Rh+
223,42483290439,Barbara,Szymańska,A Rh+
224,57944505823,Halina,Kozłowska,A Rh-
225,83585083558,Helena,Kwiatkowska,B Rh+
226,82650358406,Agnieszka,Woźniak,AB Rh-
227,78288560267,Marta,Lewandowska,0 Rh+
228,16246725687,Joanna,Wojciechowska,A Rh+
229,95249997170,Anna,Dąbrowska,0 Rh+
230,00534830718,Marta,Woźniak,A Rh+
231,66993290915,Marta,Kamińska,B Rh+
232,87278298594,Marta,Wójcik,B Rh+
233,19608716465,Irena,Mazur,A Rh-
234,69178054141,Monika,Wiśniewska,A Rh-
235,87321799802,Małgorzata,Piotrowska,AB Rh+
236,90819561362,Marta,Kowalczyk,B Rh+
237,02375081547,Krystyna,Kozłowska,AB Rh+
238,57632764135,Krystyna,Nowak,AB Rh+
239,46688913189,Halina,Kaczmarek,0 Rh-
240,98513541085,Ewa,Kowalczyk,AB Rh-
241,95752314486,Maria,Dąbrowska,0 Rh-
242,91350519410,Jadwiga,Kowalczyk,0 Rh-
243,92444128617,Janina,Mazur,A Rh+
244,77844980801,Monika,Piotrowska,B Rh+
245,36417438951,Beata,Mazur,AB Rh+
246,35835696596,Halina,Nowak,A Rh+
247,18544609436,Beata,Kowalczyk,0 Rh+
248,28617471858,Ewa,Piotrowska,A Rh-
249,40114646429,Barbara,Kowalska,A Rh-
250,64259911125,Zofia,Wójcik,A Rh-
251,79367238773,Anna,Kamińska,0 Rh+
252,18288711208,Irena,Wiśniewska,0 Rh-
253,72355129677,Maria,Kamińska,B Rh-
254,27156340397,Helena,Kozłowska,A Rh-
255,49524743062,Magdalena,Kowalczyk,0 Rh+
256,08183371959,Beata,Kwiatkowska,AB Rh-
257,59338166640,Barbara,Lewandowska,B Rh+
258,44490789408,Halina,Lewandowska,AB Rh+
259,71369536964,Joanna,Grabowska,AB Rh-
260,74698994920,Dorota,Jankowska,A Rh-
261,12197359840,Marta,Dąbrowska,0 Rh-
262,03886366133,Magdalena,Krawczyk,A Rh+
263,88484748242,Helena,Kamińska,B Rh+
264,91229564143,Magdalena,Wiśniewska,B Rh+
265,79362573213,Irena,Kozłowska,B Rh+
266,16951989218,Marta,Kwiatkowska,0 Rh+
267,17724663446,Aleksandra,Kamińska,A Rh+
268,24281240977,Monika,Krawczyk,B Rh+
269,16464556890,Krystyna,Dąbrowska,A Rh-
270,23135518077,Danuta,Krawczyk,0 Rh-
271,41924775070,Helena,Dąbrowska,0 Rh-
272,84708166763,Dorota,Kwiatkowska,AB Rh-
273,53804813275,Barbara,Kwiatkowska,A Rh+
274,64544384501,Beata,Wiśniewska,B Rh+
275,08208949917,Dorota,Nowak,0 Rh-
276,47308809067,Maria,Krawczyk,B Rh+
277,63359748637,Marta,Wójcik,0 Rh+
278,48177864569,Barbara,Piotrowska,A Rh-
279,38137874750,Maria,Woźniak,B Rh+
280,16852583041,Monika,Kozłowska,A Rh-
281,52223048122,Aleksandra,Kowalska,A Rh+
282,07635169853,Katarzyna,Szymańska,AB Rh+
283,21669315532,Halina,Mazur,AB Rh-
284,20771825866,Maria,Nowak,AB Rh+
285,98366642015,Dorota,Kaczmarek,0 Rh+
286,84257082416,Janina,Kozłowska,A Rh-
287,17747716599,Marta,Kamińska,AB Rh+
288,01832886630,Marta,Dąbrowska,B Rh+
289,03671790410,Krystyna,Kamińska,B Rh-
290,60410712403,Elżbieta,Woźniak,A Rh-
291,34791446976,Katarzyna,Dąbrowska,B Rh+
292,33845660860,Teresa,Kowalska,B Rh-
293,08213407306,Irena,Lewandowska,A Rh+
294,80095507902,Dorota,Zielińska,A Rh-
295,30778748364,Janina,Jankowska,B Rh-
296,17742902700,Janina,Wójcik,0 Rh+
297,60578062958,Joanna,Kowalska,B Rh-
298,59767914848,Anna,Dąbrowska,AB Rh-
299,95948630795,Magdalena,Mazur,0 Rh+
300,71847363873,Krystyna,Kamińska,0 Rh+
301,03184856032,Ewa,Piotrowska,0 Rh+
302,14088666111,Zofia,Wojciechowska,0 Rh+
303,49451483748,Zofia,Kozłowska,AB Rh+
304,17932964719,Irena,Woźniak,AB Rh-
305,59534818212,Anna,Kwiatkowska,0 Rh-
306,48530604302,Helena,Dąbrowska,A Rh+
307,05972944153,Teresa,Kwiatkowska,AB Rh+
308,45724159069,Monika,Kowalska,B Rh-
309,58960001140,Agnieszka,Kozłowska,0 Rh-
310,94992043929,Agnieszka,Nowak,AB Rh-
311,46234506331,Aleksandra,Kamińska,AB Rh-
312,48126852765,Monika,Piotrowska,AB Rh-
313,27300378720,Jadwiga,Wójcik,0 Rh+
314,98725281703,Marta,Dąbrowska,B Rh-
315,34890239939,Małgorzata,Woźniak,0 Rh-
316,20508669941,Danuta,Wojciechowska,B Rh-
317,76129361767,Maria,Grabowska,A Rh+
318,20184750102,Maria,Dąbrowska,0 Rh-
319,83980312625,Ewa,Kaczmarek,AB Rh-
320,04160220509,Teresa,Woźniak,AB Rh+
321,69437823810,Krystyna,Kwiatkowska,B Rh-
322,00400948001,Halina,Kaczmarek,AB Rh-
323,93597469458,Agnieszka,Kamińska,AB Rh+
324,89455770121,Janina,Lewandowska,0 Rh+
325,58704577060,Janina,Grabowska,B Rh-
326,46127350863,Monika,Jankowska,0 Rh+
327,81937314739,Jadwiga,Szymańska,AB Rh-
328,73121874411,Joanna,Kwiatkowska,A Rh-
329,14106643409,Marta,Szymańska,AB Rh+
330,57560016821,Małgorzata,Piotrowska,0 Rh+
331,77257668403,Zofia,Zielińska,A Rh+
332,98861677088,Małgorzata,Dąbrowska,B Rh-
333,36162202275,Jadwiga,Kowalczyk,AB Rh-
334,52353491764,Krystyna,Dąbrowska,B Rh+
335,38451083354,Katarzyna,Kamińska,0 Rh+
336,99519718182,Maria,Wojciechowska,0 Rh-
337,08451123968,Elżbieta,Szymańska,AB Rh+
338,67572689527,Marta,Kowalczyk,A Rh-
339,12314418725,Janina,Wiśniewska,B Rh+
340,49432651796,Aleksandra,Mazur,AB Rh+
341,41142756972,Janina,Kozłowska,B Rh+
342,52308560673,Barbara,Kowalska,A Rh+
343,63016423726,Maria,Piotrowska,B Rh-
344,40501565482,Aleksandra,Jankowska,AB Rh+
345,21241939581,Beata,Kamińska,A Rh-
346,44492779563,Barbara,Kwiatkowska,0 Rh+
347,68048548978,Dorota,Jankowska,AB Rh+
348,12799602788,Danuta,Dąbrowska,AB Rh+
349,94508027112,Katarzyna,Kwiatkowska,0 Rh-
350,66698099996,Beata,Wiśniewska,A Rh-
351,05139910582,Janina,Wiśniewska,A Rh-
352,32185161468,Barbara,Lewandowska,AB Rh-
353,41723482938,Monika,Zielińska,0 Rh+
354,22041867711,Marta,Piotrowska,A Rh-
355,92942493839,Ewa,Woźniak,0 Rh+
356,68103162438,Zofia,Mazur,A Rh+
357,85281266383,Halina,Woźniak,AB Rh-
358,86134110947,Magdalena,Wiśniewska,A Rh-
359,63066022982,Ewa,Kamińska,AB Rh+
360,97273528213,Anna,Piotrowska,A Rh-
361,01042734341,Małgorzata,Piotrowska,A Rh+
362,23814929347,Małgorzata,Krawczyk,A Rh-
363,36085400499,Marta,Kowalczyk,0 Rh+
364,76761447803,Beata,Szymańska,AB Rh-
365,10163510583,Ewa,Lewandowska,AB Rh+
366,88099604515,Anna,Piotrowska,B Rh+
367,62963885287,Małgorzata,Wiśniewska,AB Rh+
368,79620312253,Dorota,Dąbrowska,AB Rh+
369,79329506616,Krystyna,Kozłowska,B Rh-
370,24034406656,Teresa,Kaczmarek,0 Rh+
371,57771291671,Danuta,Piotrowska,0 Rh+
372,17535934669,Monika,Wojciechowska,A Rh-
373,53236273303,Halina,Kwiatkowska,B Rh+
374,27640175893,Agnieszka,Lewandowska,AB Rh-
375,48856057322,Monika,Dąbrowska,A Rh+
376,05069052013,Katarzyna,Wójcik,B Rh+
377,53847529635,Małgorzata,Szymańska,A Rh+
378,87836345652,Marta,Dąbrowska,0 Rh-
379,45645411505,Dorota,Wojciechowska,0 Rh+
380,32288977321,Dorota,Lewandowska,B Rh+
381,58592202927,Jadwiga,Mazur,0 Rh-
382,19868305818,Irena,Piotrowska,AB Rh+
383,93856892912,Maria,Wójcik,0 Rh-
384,03992765431,Barbara,Kowalczyk,0 Rh+
385,40777583486,Elżbieta,Jankowska,B Rh-
386,88374668474,Danuta,Woźniak,0 Rh+
387,43070127021,Beata,Mazur,A Rh-
388,57154512152,Joanna,Kowalska,AB Rh+
389,95854260410,Dorota,Mazur,AB Rh+
390,06195007667,Janina,Jankowska,AB Rh+
391,99955936343,Zofia,Lewandowska,0 Rh+
392,73736252213,Maria,Kaczmarek,A Rh-
393,87355283267,Helena,Zielińska,0 Rh-
394,33930683636,Monika,Woźniak,B Rh-
395,23775583853,Elżbieta,Grabowska,A Rh+
396,10313479205,Helena,Kowalska,AB Rh+
397,57323446833,Dorota,Kowalczyk,B Rh+
398,38472683459,Elżbieta,Lewandowska,0 Rh-
399,43263010672,Halina,Wiśniewska,B Rh-
400,16979729924,Katarzyna,Jankowska,0 Rh-
401,35320251805,Elżbieta,Szymańska,A Rh-
402,64846660450,Anna,Zielińska,0 Rh-
403,22613674082,Teresa,Wójcik,A Rh+
404,34367429609,Elżbieta,Kwiatkowska,AB Rh-
405,04258868977,Aleksandra,Kaczmarek,A Rh+
406,50367826189,Irena,Kowalczyk,A Rh+
407,39809807584,Beata,Kowalczyk,B Rh+
408,09973745608,Dorota,Nowak,B Rh-
409,07136763211,Agnieszka,Woźniak,0 Rh+
410,78203980475,Joanna,Szymańska,A Rh+
411,49113888589,Monika,Wójcik,AB Rh+
412,21880808518,Jadwiga,Kowalczyk,0 Rh-
413,86692829515,Krystyna,Wojciechowska,0 Rh-
414,73534383411,Halina,Wojciechowska,AB Rh+
415,21689788175,Monika,Kamińska,A Rh+
416,29131276940,Teresa,Zielińska,0 Rh-
417,46173121451,Janina,Kowalska,B Rh-
418,18891520180,Zofia,Jankowska,0 Rh-
419,87017345782,Ewa,Piotrowska,B Rh+
420,62565360336,Barbara,Nowak,AB Rh+
421,48478734644,Jadwiga,Wójcik,A Rh-
422,36918334058,Monika,Dąbrowska,AB Rh+
423,70373264391,Małgorzata,Jankowska,B Rh-
424,92550646132,Irena,Mazur,B Rh+
425,98785617205,Helena,Zielińska,A Rh+
426,74204970351,Danuta,Szymańska,A Rh-
427,56355064701,Halina,Mazur,B Rh-
428,99805083590,Katarzyna,Kamińska,AB Rh-
429,22801892675,Teresa,Kozłowska,0 Rh+
430,02084517217,Dorota,Nowak,B Rh+
431,87667520480,Halina,Grabowska,B Rh-
432,75907145123,Irena,Wójcik,A Rh-
433,63203960756,Agnieszka,Zielińska,B Rh+
434,03480240355,Joanna,Jankowska,A Rh+
435,43467890969,Janina,Wojciechowska,0 Rh-
436,37983413827,Magdalena,Wójcik,0 Rh+
437,46042652788,Agnieszka,Kwiatkowska,A Rh+
438,24440612422,Zofia,Szymańska,0 Rh-
439,06002089307,Maria,Kamińska,AB Rh+
440,76690826928,Joanna,Kwiatkowska,0 Rh-
441,51398535347,Aleksandra,Grabowska,A Rh-
442,21027461416,Małgorzata,Nowak,B Rh+
443,58694691390,Magdalena,Grabowska,0 Rh-
444,32389460022,Joanna,Kwiatkowska,AB Rh-
445,63479226498,Magdalena,Lewandowska,AB Rh-
446,41595435696,Beata,Kaczmarek,AB Rh+
447,72991238794,Ewa,Kaczmarek,0 Rh-
448,90026348456,Magdalena,Wiśniewska,B Rh+
449,46258235401,Anna,Jankowska,0 Rh-
450,88260107031,Janina,Grabowska,B Rh+
451,19764227220,Maria,Nowak,AB Rh+
452,09897909808,Janina,Grabowska,AB Rh-
453,20429244936,Agnieszka,Jankowska,A Rh-
454,80061702308,Krystyna,Zielińska,A Rh+
455,98203741949,Elżbieta,Szymańska,AB Rh+
456,86847578518,Agnieszka,Piotrowska,A Rh-
457,64499351662,Barbara,Mazur,0 Rh+
458,73671538735,Małgorzata,Wiśniewska,A Rh-
459,01806415485,Irena,Szymańska,0 Rh-
460,70701589927,Krystyna,Wójcik,B Rh-
461,38317997297,Jadwiga,Krawczyk,AB Rh-
462,79420343842,Magdalena,Piotrowska,AB Rh-
463,95998840055,Halina,Kowalczyk,AB Rh-
464,47757216578,Agnieszka,Piotrowska,0 Rh-
465,97664940314,Irena,Kowalska,0 Rh-
466,29032505610,Janina,Kwiatkowska,AB Rh-
467,12106675577,Krystyna,Wojciechowska,AB Rh-
468,76191848481,Małgorzata,Grabowska,B Rh+
469,94630874786,Maria,Kamińska,AB Rh-
470,03352477706,Anna,Piotrowska,AB Rh+
471,18389988640,Irena,Kamińska,0 Rh+
472,48153562286,Maria,Zielińska,AB Rh+
473,03318885057,Krystyna,Wójcik,A Rh+
474,95191512579,Barbara,Woźniak,0 Rh+
475,57622573390,Elżbieta,Kamińska,A Rh-
476,06575142151,Irena,Piotrowska,A Rh+
477,37552192109,Danuta,Woźniak,0 Rh+
478,58146437599,Danuta,Lewandowska,B Rh-
479,42879094843,Helena,Wojciechowska,B Rh-
480,84912401182,Agnieszka,Grabowska,B Rh-
481,57023291670,Krystyna,Wójcik,A Rh+
482,93649853872,Joanna,Wiśniewska,A Rh+
483,53821703994,Jadwiga,Szymańska,B Rh-
484,49537365628,Janina,Mazur,B Rh-
485,95669611364,Teresa,Lewandowska,B Rh-
486,66088123046,Helena,Wójcik,0 Rh-
487,75813624255,Anna,Wójcik,AB Rh-
488,15667395899,Elżbieta,Wójcik,AB Rh+
489,65583427747,Katarzyna,Nowak,B Rh+
490,40053316941,Magdalena,Piotrowska,AB Rh+
491,34556301639,Magdalena,Woźniak,0 Rh-
492,73439937200,Dorota,Woźniak,B Rh+
493,37707748186,Anna,Wojciechowska,A Rh-
494,75232258444,Anna,Dąbrowska,AB Rh+
495,22952872849,Katarzyna,Krawczyk,A Rh-
496,99204493916,Helena,Krawczyk,A Rh+
497,17090783546,Beata,Kaczmarek,AB Rh-
498,44588873514,Agnieszka,Krawczyk,B Rh-
499,42469829450,Magdalena,Piotrowska,0 Rh+
500,76636849898,Teresa,Mazur,A Rh+
501,45226216013,Elżbieta,Dąbrowska,A Rh-
502,45192756603,Aleksandra,Piotrowska,AB Rh+
503,77079859658,Elżbieta,Kaczmarek,B Rh-
504,51595736566,Danuta,Jankowska,A Rh-
505,95486130400,Anna,Kwiatkowska,A Rh-
506,91281462717,Małgorzata,Kowalska,A Rh-
507,52625695845,Anna,Kowalska,0 Rh-
508,08763902643,Małgorzata,Krawczyk,0 Rh+
509,69395386151,Monika,Piotrowska,A Rh-
510,99360139493,Janina,Kowalczyk,AB Rh-
511,69230711975,Katarzyna,Jankowska,B Rh+
512,50339027889,Katarzyna,Grabowska,0 Rh+
513,71114028694,Agnieszka,Krawczyk,0 Rh-
514,43026058580,Maria,Grabowska,AB Rh-
515,80777074031,Agnieszka,Woźniak,AB Rh+
516,91178544627,Aleksandra,Krawczyk,B Rh+
517,68849835654,Halina,Kamińska,AB Rh+
518,57929483705,Beata,Piotrowska,AB Rh+
519,12940617363,Krystyna,Mazur,B Rh+
520,84527617386,Joanna,Mazur,AB Rh+
521,97556322068,Katarzyna,Kowalska,AB Rh+
522,28209319260,Danuta,Kwiatkowska,0 Rh-
523,14615119620,Jadwiga,Woźniak,A Rh+
524,70639798095,Monika,Zielińska,B Rh+
525,33228725884,Zofia,Kowalczyk,B Rh-
526,92055393537,Dorota,Woźniak,A Rh+
527,74515922981,Krystyna,Krawczyk,B Rh+
528,44336508123,Jadwiga,Lewandowska,A Rh+
529,63419725616,Beata,Woźniak,0 Rh-
530,61456662255,Magdalena,Wojciechowska,0 Rh-
531,62910688499,Halina,Wojciechowska,AB Rh-
532,78278466181,Beata,Zielińska,A Rh-
533,72040028964,Krystyna,Kamińska,0 Rh-
534,33849756268,Magdalena,Lewandowska,0 Rh-
535,70569687286,Dorota,Wiśniewska,AB Rh+
536,07052137675,Anna,Jankowska,A Rh+
537,33822009121,Małgorzata,Wójcik,A Rh-
538,64632265763,Marta,Woźniak,B Rh-
539,57222771516,Danuta,Zielińska,B Rh-
540,50232388071,Jadwiga,Lewandowska,AB Rh+
541,97491879143,Maria,Nowak,AB Rh+
542,80717997578,Monika,Jankowska,0 Rh-
543,18733227265,Teresa,Krawczyk,B Rh+
544,30365159725,Krystyna,Lewandowska,AB Rh+
545,45528928402,Beata,Zielińska,A Rh+
